datetime,symbol,open,high,low,close,volume
2021-06-27,BITKUB:KUBTHB,14.75,15.45,14.72,15.15,372283.59307137
2021-06-28,BITKUB:KUBTHB,15.09,16.2,15.09,15.6,874115.62369604
2021-06-29,BITKUB:KUBTHB,15.6,16.25,15.31,15.94,1311043.24894415
2021-06-30,BITKUB:KUBTHB,16.03,16.16,15.2,15.4,777583.37091304
2021-07-01,BITKUB:KUBTHB,15.4,15.74,15.2,15.36,442512.48594616
2021-07-02,BITKUB:KUBTHB,15.34,15.58,15.2,15.39,372968.53497597
2021-07-03,BITKUB:KUBTHB,15.38,15.49,15.25,15.41,338495.51698681
2021-07-04,BITKUB:KUBTHB,15.41,15.48,15.31,15.41,385008.10855968
2021-07-05,BITKUB:KUBTHB,15.44,15.45,15.15,15.24,493941.19148506
2021-07-06,BITKUB:KUBTHB,15.22,15.85,15.19,15.52,1069614.59496967
2021-07-07,BITKUB:KUBTHB,15.52,15.69,15.4,15.58,484842.80332625
2021-07-08,BITKUB:KUBTHB,15.57,15.64,15.15,15.2,808741.73810332
2021-07-09,BITKUB:KUBTHB,15.22,15.3,14.5,15.0,1223634.93709587
2021-07-10,BITKUB:KUBTHB,15.0,15.55,14.5,15.06,886655.57006236
2021-07-11,BITKUB:KUBTHB,15.06,15.2,14.85,15.03,651842.09515112
2021-07-12,BITKUB:KUBTHB,15.02,15.09,14.8,14.87,422306.0169926
2021-07-13,BITKUB:KUBTHB,14.85,14.9,13.55,14.1,1915770.52683499
2021-07-14,BITKUB:KUBTHB,14.1,14.18,13.56,13.87,922377.29612249
2021-07-15,BITKUB:KUBTHB,13.88,14.01,13.22,13.24,711230.69576862
2021-07-16,BITKUB:KUBTHB,13.25,14.5,13.22,13.71,967877.66322208
2021-07-17,BITKUB:KUBTHB,13.72,13.81,13.2,13.27,439499.80154435
2021-07-18,BITKUB:KUBTHB,13.28,13.8,13.1,13.32,697185.08886558
2021-07-19,BITKUB:KUBTHB,13.25,13.34,13.0,13.04,665712.44020272
2021-07-20,BITKUB:KUBTHB,13.05,13.19,12.5,13.0,826319.44632999
2021-07-21,BITKUB:KUBTHB,13.07,13.28,12.69,13.19,529167.80210964
2021-07-22,BITKUB:KUBTHB,13.19,13.3,13.02,13.2,512261.06202022
2021-07-23,BITKUB:KUBTHB,13.19,13.49,13.01,13.07,754090.85974601
2021-07-24,BITKUB:KUBTHB,13.04,13.39,13.02,13.36,556694.69926087
2021-07-25,BITKUB:KUBTHB,13.36,13.38,13.05,13.17,500371.49432679
2021-07-26,BITKUB:KUBTHB,13.19,14.39,13.11,14.02,1734354.53728837
2021-07-27,BITKUB:KUBTHB,14.02,14.3,13.0,13.37,975031.16479506
2021-07-28,BITKUB:KUBTHB,13.36,13.85,13.15,13.5,621890.66828287
2021-07-29,BITKUB:KUBTHB,13.5,13.6,13.3,13.46,325550.80926533
2021-07-30,BITKUB:KUBTHB,13.5,13.8,13.36,13.45,918053.65990172
2021-07-31,BITKUB:KUBTHB,13.46,24.0,13.45,20.35,25184968.0126049
2021-08-01,BITKUB:KUBTHB,20.34,22.32,19.02,20.69,6765005.06212869
2021-08-02,BITKUB:KUBTHB,20.69,20.98,19.5,20.28,2410200.00641357
2021-08-03,BITKUB:KUBTHB,20.28,22.52,19.95,20.96,4642543.33984067
2021-08-04,BITKUB:KUBTHB,20.96,22.0,20.86,21.35,2664128.14377045
2021-08-05,BITKUB:KUBTHB,21.35,22.0,21.21,21.74,2322185.57195121
2021-08-06,BITKUB:KUBTHB,21.72,27.88,21.6,26.49,11749296.73030011
2021-08-07,BITKUB:KUBTHB,26.42,29.0,26.4,27.54,12405419.75411196
2021-08-08,BITKUB:KUBTHB,27.54,28.3,27.0,27.5,5790405.90664675
2021-08-09,BITKUB:KUBTHB,27.6,29.5,25.0,27.53,13392349.14200301
2021-08-10,BITKUB:KUBTHB,27.53,28.0,25.0,25.71,6558504.63741473
2021-08-11,BITKUB:KUBTHB,25.62,26.97,25.5,26.05,6357692.65149667
